,Sr #,Parish,Code,Townland,1841 Male,1841 Female,1841 Inhabited,1841 Uninhabited,1851 Male,1851 Female,1851 Inhabited,1851 Uninhabited,1861 Male,1861 Female,1861 Inhabited,1861 Uninhabited,1871 Male,1871 Female,1871 Inhabited,1871 Uninhabited,1881 Male,1881 Female,1881 Inhabited,1881 Uninhabited,1891 Male,1891 Female,1891 Inhabited,1891 Uninhabited,Remarks
0,1,,260028.0,BALBRIGGAN,,,,,,,,,,,,,,,,,6196.0,8714.0,2796.0,177.0,,,,,Yellow highlited values are not clear
1,2,,260151.0,BLANCHARDSTOWN,,,,,,,,,,,,,,,,,1775.0,1702.0,327.0,19.0,,,,,Yellow highlited values are not clear
2,3,,,BRAY,,,,,,,,,,,,,,,,,2414.0,2466.0,797.0,70.0,,,,,
3,4,,260194.0,CABINTEELY,,,,,,,,,,,,,,,,,1362.0,1611.0,519.0,48.0,,,,,Yellow highlited values are not clear
4,5,,,COOLOCK,,,,,,,,,,,,,,,,,3503.0,3406.0,1152.0,127.0,,,,,Yellow highlited values are not clear
5,6,,,DRUMCONDRA,,,,,,,,,,,,,,,,,3261.0,3391.0,994.0,115.0,,,,,Yellow highlited values are not clear
6,7,,260356.0,DUNDRUM,,,,,,,,,,,,,,,,,2938.0,3202.0,1065.0,55.0,,,,,Yellow highlited values are not clear
7,8,,260477.0,HOWTH,,,,,,,,,,,,,,,,,858.0,1008.0,364.0,99.0,,,,,Yellow highlited values are not clear
8,9,,260600.0,LUCAN,,,,,,,,,,,,,,,,,1971.0,2097.0,790.0,37.0,,,,,Yellow highlited values are not clear
9,10,,260759.0,RATHCOOLE,,,,,,,,,,,,,,,,,1310.0,1321.0,522.0,8.0,,,,,
10,11,,260761.0,RATHFARNHAM,,,,,,,,,,,,,,,,,1867.0,2137.0,697.0,60.0,,,,,Yellow highlited values are not clear
11,12,,,SWORDS,,,,,,,,,,,,,,,,,4070.0,4027.0,1622.0,123.0,,,,,Yellow highlited values are not clear
12,13,,260867.0,TALLAGHT,,,,,,,,,,,,,,,,,2401.0,2109.0,331.0,99.0,,,,,Yellow highlited values are not clear
13,14,,,TOTAL,,,,,,,,,,,,,,,,,23931.0,35331.0,12736.0,1037.0,,,,,Yellow highlited total are not clear
14,15,,260158.0,BOOTERSTOWN,,,,,,,,,,,,,,,,,151.0,176.0,60.0,2.0,,,,,
15,16,,,CHRIST CHRUCH,,,,,,,,,,,,,,,,,3.0,6.0,2.0,2.0,,,,,Yellow highlited values are not clear
16,17,,211237.0,DONNYBROOK,,,,,,,,,,,,,,,,,8355.0,8378.0,2347.0,209.0,,,,,Yellow highlited values are not clear
17,18,,,GLASNEVIN,,,,,,,,,,,,,,,,,,,,,,,,,Yellow highlited values are not clear
18,19,,,GRANGAGORMAN,,,,,,,,,,,,,,,,,2832.0,3262.0,649.0,31.0,,,,,
19,20,,260639.0,MONKSTOWN,,,,,,,,,,,,,,,,,55.0,76.0,21.0,4.0,,,,,
20,21,,,ST. ANDREW'S,,,,,,,,,,,,,,,,,2148.0,2164.0,481.0,228.0,,,,,Yellow highlited values are not clear
21,22,,,ST ANNA'S,,,,,,,,,,,,,,,,,2709.0,3398.0,53.0,128.0,,,,,Yellow highlited values are not clear
22,23,,,ST. AUDOEN'S,,,,,,,,,,,,,,,,,1747.0,1809.0,298.0,75.0,,,,,Yellow highlited values are not clear
23,24,,,ST BARTHOLOMEW'S,,,,,,,,,,,,,,,,,1849.0,2416.0,518.0,22.0,,,,,Yellow highlited values are not clear
24,25,,,ST BRIDGET'S,,,,,,,,,,,,,,,,,3994.0,3308.0,492.0,176.0,,,,,
25,26,,,ST CATHERLNES,,,,,,,,,,,,,,,,,8052.0,8151.0,1467.0,265.0,,,,,Yellow highlited values are not clear
26,27,,,ST GEORGE'S,,,,,,,,,,,,,,,,,10403.0,12774.0,3002.0,202.0,,,,,
27,28,,,ST JAMES'S,,,,,,,,,,,,,,,,,6773.0,8642.0,943.0,117.0,,,,,
28,29,,,ST JOHN'S,,,,,,,,,,,,,,,,,1207.0,1251.0,172.0,48.0,,,,,
29,30,,,ST. JUDE'S,,,,,,,,,,,,,,,,,24.0,12.0,5.0,,,,,,
30,31,,,ST LUKE'S,,,,,,,,,,,,,,,,,1871.0,2043.0,297.0,53.0,,,,,
31,32,,,ST MARK'S,,,,,,,,,,,,,,,,,9816.0,9515.0,1917.0,257.0,,,,,Yellow highlited values are not clear
32,33,,,ST MARY'S,,,,,,,,,,,,,,,,,10222.0,11537.0,1953.0,268.0,,,,,Yellow highlited values are not clear
33,34,,,ST MICHAELS',,,,,,,,,,,,,,,,,495.0,540.0,79.0,29.0,,,,,Yellow highlited values are not clear
34,35,,,ST MICHAN'S,,,,,,,,,,,,,,,,,9806.0,9714.0,1272.0,155.0,,,,,
35,36,,,ST NICHOLAS WLTHIN),,,,,,,,,,,,,,,,,753.0,814.0,114.0,11.0,,,,,
36,37,,,ST NICHOLAS (WITHOUT),,,,,,,,,,,,,,,,,4758.0,5008.0,855.0,82.0,,,,,Yellow highlited values are not clear
37,38,,,ST PATRICK'S,,,,,,,,,,,,,,,,,911.0,886.0,185.0,9.0,,,,,Yellow highlited values are not clear
38,39,,,ST PAUL'S,,,,,,,,,,,,,,,,,5297.0,4053.0,771.0,113.0,,,,,Yellow highlited values are not clear
39,40,,,ST PETER'S,,,,,,,,,,,,,,,,,13418.0,25019.0,8045.0,312.0,,,,,
40,41,,,ST THOMAS'S,,,,,,,,,,,,,,,,,17301.0,18439.0,4071.0,470.0,,,,,Yellow highlited values are not clear
41,42,,,ST WERBURGH'S,,,,,,,,,,,,,,,,,1228.0,1414.0,190.0,54.0,,,,,Yellow highlited values are not clear
42,43,,,TANEY,,,,,,,,,,,,,,,,,64.0,87.0,22.0,,,,,,Yellow highlited values are not clear
43,44,,,TOTAL,,,,,,,,,,,,,,,,,129892.0,143390.0,27829.0,3315.0,,,,,Yellow highlited total are not clear
44,45,DUBLIN,,ARRAN-QUAY WARD,,,,,,,,,,,,,,,,,14104.0,13301.0,2317.0,238.0,,,,,Yellow highlited values are not clear
45,46,DUBLIN,,INNA QUAY,,,,,,,,,,,,,,,,,10515.0,12192.0,2226.0,182.0,,,,,Yellow highlited values are not clear
46,47,DUBLIN,,MOUNILJOY,,,,,,,,,,,,,,,,,8906.0,10441.0,2149.0,158.0,,,,,
47,48,DUBLIN,,NORTH CITY,,,,,,,,,,,,,,,,,5307.0,5578.0,1002.0,223.0,,,,,
48,49,DUBLIN,,NORTH DOCK,,,,,,,,,,,,,,,,,11212.0,11495.0,2740.0,364.0,,,,,
49,50,DUBLIN,,ROLUNDO,,,,,,,,,,,,,,,,,5362.0,6848.0,1307.0,72.0,,,,,
50,51,DUBLIN,,TOTAL,,,,,,,,,,,,,,,,,55406.0,59855.0,11741.0,1238.0,,,,,Yellow highlited total are not clear
51,52,DUBLIN,,FITZWILLIAM,,,,,,,,,,,,,,,,,4519.0,6267.0,1339.0,77.0,,,,,
52,53,DUBLIN,,MAUSION HOUSA,,,,,,,,,,,,,,,,,5290.0,6477.0,1005.0,34.0,,,,,Yellow highlited values are not clear
53,54,DUBLIN,,MERCHANTS-QUAY,,,,,,,,,,,,,,,,,9898.0,10383.0,1354.0,343.0,,,,,Yellow highlited values are not clear
54,55,DUBLIN,,ROYAL EXCHANGE,,,,,,,,,,,,,,,,,4908.0,4832.0,820.0,246.0,,,,,Yellow highlited values are not clear
55,56,DUBLIN,,SOUTH CITY,,,,,,,,,,,,,,,,,3023.0,3153.0,627.0,289.0,,,,,Yellow highlited values are not clear
56,57,DUBLIN,,SOUTH DOCK,,,,,,,,,,,,,,,,,7097.0,7954.0,1704.0,118.0,,,,,
57,58,DUBLIN,,TRINITY,,,,,,,,,,,,,,,,,6642.0,7020.0,1172.0,179.0,,,,,
58,59,DUBLIN,,USHER'S QUAY,,,,,,,,,,,,,,,,,11463.0,31311.0,1620.0,233.0,,,,,Yellow highlited values are not clear
59,60,DUBLIN,,WOOD-QUAY,,,,,,,,,,,,,,,,,11497.0,12504.0,2329.0,248.0,,,,,Yellow highlited values are not clear
60,61,DUBLIN,,TOTAL,,,,,,,,,,,,,,,,,84340.0,69941.0,12470.0,1822.0,,,,,Yellow highlited total are not clear
61,62,KINGSTOWN,,GLASTHULE WARD,,,,,,,,,,,,,,,,,1678.0,2438.0,781.0,107.0,,,,,Yellow highlited values are not clear
62,63,KINGSTOWN,,EAST,,,,,,,,,,,,,,,,,1803.0,3116.0,873.0,101.0,,,,,Yellow highlited values are not clear
63,64,KINGSTOWN,,WEST,,,,,,,,,,,,,,,,,3342.0,3524.0,1030.0,75.0,,,,,Yellow highlited values are not clear
64,65,KINGSTOWN,,MONKSTOWN,,,,,,,,,,,,,,,,,1047.0,1638.0,390.0,23.0,,,,,Yellow highlited values are not clear
65,66,KINGSTOWN,,SHIPPING,,,,,,,,,,,,,,,,,,,,,,,,,
66,67,KINGSTOWN,,TOTAL,,,,,,,,,,,,,,,,,7872.0,10714.0,3074.0,306.0,,,,,Yellow highlited total are not clear
67,68,BLACKROCK,,BLACKROCK WARD,,,,,,,,,,,,,,,,,1917.0,2595.0,796.0,65.0,,,,,Yellow highlited values are not clear
68,69,BLACKROCK,,BOOTERSTOWN,,,,,,,,,,,,,,,,,1192.0,1493.0,364.0,45.0,,,,,Yellow highlited values are not clear
69,70,BLACKROCK,,MONKSTOWN,,,,,,,,,,,,,,,,,527.0,1174.0,304.0,34.0,,,,,
70,71,BLACKROCK,,TOTAL,,,,,,,,,,,,,,,,,3636.0,5280.0,1464.0,144.0,,,,,Yellow highlited total are not clear
71,72,RATHMINES AND RATHGAR TOUR,,RATHGAR WARD,,,,,,,,,,,,,,,,,1714.0,2877.0,857.0,62.0,,,,,
72,73,RATHMINES AND RATHGAR TOUR,,RATHMINES,,,,,,,,,,,,,,,,,8079.0,11700.0,3039.0,269.0,,,,,
73,74,RATHMINES AND RATHGAR TOUR,,TOTAL,,,,,,,,,,,,,,,,,9793.0,14577.0,3946.0,331.0,,,,,
74,75,"DRUMCONDRA CLONLIFFE, AND GLASNEVIN",,CLONLIFFE WARD,,,,,,,,,,,,,,,,,939.0,1117.0,313.0,81.0,,,,,Yellow highlited values are not clear
75,76,"DRUMCONDRA CLONLIFFE, AND GLASNEVIN",,DRUMCONDRA,,,,,,,,,,,,,,,,,580.0,531.0,153.0,16.0,,,,,
76,77,"DRUMCONDRA CLONLIFFE, AND GLASNEVIN",,GLASNEVIN,,,,,,,,,,,,,,,,,923.0,780.0,249.0,26.0,,,,,Yellow highlited values are not clear
77,78,"DRUMCONDRA CLONLIFFE, AND GLASNEVIN",,TOTAL,,,,,,,,,,,,,,,,,2444.0,2434.0,715.0,108.0,,,,,Yellow highlited total are not clear
